participant_id,study
NM2010,SCHIZCONNECT-VIP
CH7098a,SCHIZCONNECT-VIP
ESOP00010,PRAGUE
ESOC10082,PRAGUE
ra120073,SCHIZCONNECT-VIP
CH7458a,SCHIZCONNECT-VIP
CC2572,SCHIZCONNECT-VIP
ESOP00073,PRAGUE
rs090406,SCHIZCONNECT-VIP
CH8301a,SCHIZCONNECT-VIP
NM1072,SCHIZCONNECT-VIP
rs110014,SCHIZCONNECT-VIP
CH7193b,SCHIZCONNECT-VIP
A00021598,SCHIZCONNECT-VIP
NM5747,SCHIZCONNECT-VIP
NM6211,SCHIZCONNECT-VIP
NM1085,SCHIZCONNECT-VIP
A00004507,SCHIZCONNECT-VIP
A00014830,SCHIZCONNECT-VIP
A00015759,SCHIZCONNECT-VIP
bw100508,SCHIZCONNECT-VIP
ESOP00056,PRAGUE
NM1036,SCHIZCONNECT-VIP
ESOC10059,PRAGUE
ESOC10079,PRAGUE
A00018434,SCHIZCONNECT-VIP
CC9466,SCHIZCONNECT-VIP
NM1042,SCHIZCONNECT-VIP
A00022727,SCHIZCONNECT-VIP
fg130137,SCHIZCONNECT-VIP
A00023143,SCHIZCONNECT-VIP
A00028404,SCHIZCONNECT-VIP
CC9704,SCHIZCONNECT-VIP
CH8288a,SCHIZCONNECT-VIP
CC5000,SCHIZCONNECT-VIP
CH8476a,SCHIZCONNECT-VIP
A00036555,SCHIZCONNECT-VIP
CH7944a,SCHIZCONNECT-VIP
ESOC10023,PRAGUE
A00021072,SCHIZCONNECT-VIP
CH8410a,SCHIZCONNECT-VIP
A00016723,SCHIZCONNECT-VIP
CH7546a,SCHIZCONNECT-VIP
A00022500,SCHIZCONNECT-VIP
ESOC10075,PRAGUE
A00004087,SCHIZCONNECT-VIP
ef100424,SCHIZCONNECT-VIP
CC6115,SCHIZCONNECT-VIP
db100111,SCHIZCONNECT-VIP
CH7814b,SCHIZCONNECT-VIP
rc130124,SCHIZCONNECT-VIP
ESOC10115,PRAGUE
ESOC10090,PRAGUE
CC2825,SCHIZCONNECT-VIP
ESOP00079,PRAGUE
CC7537,SCHIZCONNECT-VIP
CH7674b,SCHIZCONNECT-VIP
ESOC10061,PRAGUE
NM6433,SCHIZCONNECT-VIP
CH8357,SCHIZCONNECT-VIP
sd100209,SCHIZCONNECT-VIP
CC3945,SCHIZCONNECT-VIP
A00034273,SCHIZCONNECT-VIP
CC8225,SCHIZCONNECT-VIP
A00029226,SCHIZCONNECT-VIP
A00022835,SCHIZCONNECT-VIP
NM6112,SCHIZCONNECT-VIP
CH7176a,SCHIZCONNECT-VIP
A00014898,SCHIZCONNECT-VIP
ESOC10087,PRAGUE
NM8659,SCHIZCONNECT-VIP
CH8413a,SCHIZCONNECT-VIP
A00015826,SCHIZCONNECT-VIP
NM2020,SCHIZCONNECT-VIP
NM1003,SCHIZCONNECT-VIP
A00024955,SCHIZCONNECT-VIP
A00024953,SCHIZCONNECT-VIP
CC7427,SCHIZCONNECT-VIP
A00025969,SCHIZCONNECT-VIP
NM1037,SCHIZCONNECT-VIP
ESOP00080,PRAGUE
CH2917,SCHIZCONNECT-VIP
ESOC10041,PRAGUE
ESOC10058,PRAGUE
A00014522,SCHIZCONNECT-VIP
CC8078,SCHIZCONNECT-VIP
CH7496a,SCHIZCONNECT-VIP
CC6838,SCHIZCONNECT-VIP
A00002198,SCHIZCONNECT-VIP
NM3455,SCHIZCONNECT-VIP
NM7465,SCHIZCONNECT-VIP
ESOP00036,PRAGUE
CC0239,SCHIZCONNECT-VIP
NM1089,SCHIZCONNECT-VIP
A00021085,SCHIZCONNECT-VIP
NM1070,SCHIZCONNECT-VIP
CH7779b,SCHIZCONNECT-VIP
CH8559b,SCHIZCONNECT-VIP
A00023132,SCHIZCONNECT-VIP
NM1014,SCHIZCONNECT-VIP
CH8541b,SCHIZCONNECT-VIP
CC1549,SCHIZCONNECT-VIP
NM2109,SCHIZCONNECT-VIP
NM5946,SCHIZCONNECT-VIP
CC0311,SCHIZCONNECT-VIP
NM2061,SCHIZCONNECT-VIP
A00020984,SCHIZCONNECT-VIP
CC0432,SCHIZCONNECT-VIP
CH8876b,SCHIZCONNECT-VIP
A00019293,SCHIZCONNECT-VIP
CC4202,SCHIZCONNECT-VIP
gb100352,SCHIZCONNECT-VIP
NM6224,SCHIZCONNECT-VIP
CC9911,SCHIZCONNECT-VIP
NM3215,SCHIZCONNECT-VIP
CH7616b,SCHIZCONNECT-VIP
NM1083,SCHIZCONNECT-VIP
NM7365,SCHIZCONNECT-VIP
A00022729,SCHIZCONNECT-VIP
CC3615,SCHIZCONNECT-VIP
am130237,SCHIZCONNECT-VIP
NM2028,SCHIZCONNECT-VIP
NM2094,SCHIZCONNECT-VIP
sb120301,SCHIZCONNECT-VIP
CH8853b,SCHIZCONNECT-VIP
ESOC10019,PRAGUE
CH8508a,SCHIZCONNECT-VIP
CC8197,SCHIZCONNECT-VIP
CH7353a,SCHIZCONNECT-VIP
A00009946,SCHIZCONNECT-VIP
CC8267,SCHIZCONNECT-VIP
CH7912a,SCHIZCONNECT-VIP
NM2078,SCHIZCONNECT-VIP
ESOC10031,PRAGUE
ad120188,SCHIZCONNECT-VIP
CH7316a,SCHIZCONNECT-VIP
CC9158,SCHIZCONNECT-VIP
CC5479,SCHIZCONNECT-VIP
A00024535,SCHIZCONNECT-VIP
A00038441,SCHIZCONNECT-VIP
NM1076,SCHIZCONNECT-VIP
jp100096,SCHIZCONNECT-VIP
CC9673,SCHIZCONNECT-VIP
CH8004a,SCHIZCONNECT-VIP
NM4764,SCHIZCONNECT-VIP
A00023800,SCHIZCONNECT-VIP
CC7295,SCHIZCONNECT-VIP
CC2442,SCHIZCONNECT-VIP
CC7335,SCHIZCONNECT-VIP
CC1197,SCHIZCONNECT-VIP
A00014719,SCHIZCONNECT-VIP
CC7570,SCHIZCONNECT-VIP
CC1570,SCHIZCONNECT-VIP
A00035751,SCHIZCONNECT-VIP
ESOC10057,PRAGUE
CC3803,SCHIZCONNECT-VIP
ESOC10060,PRAGUE
CH8926b,SCHIZCONNECT-VIP
NM4405,SCHIZCONNECT-VIP
ESOP00047,PRAGUE
CC2606,SCHIZCONNECT-VIP
CC7233,SCHIZCONNECT-VIP
CC8962,SCHIZCONNECT-VIP
ESOP00062,PRAGUE
CH8941a,SCHIZCONNECT-VIP
nn100220,SCHIZCONNECT-VIP
ESOC10035,PRAGUE
CC6681,SCHIZCONNECT-VIP
CC0873,SCHIZCONNECT-VIP
NM4443,SCHIZCONNECT-VIP
A00036897,SCHIZCONNECT-VIP
ESOP00013,PRAGUE
CC9044,SCHIZCONNECT-VIP
in100587,SCHIZCONNECT-VIP
ks100063,SCHIZCONNECT-VIP
A00001452,SCHIZCONNECT-VIP
CH7877a,SCHIZCONNECT-VIP
NM1001,SCHIZCONNECT-VIP
NM4522,SCHIZCONNECT-VIP
NM2104,SCHIZCONNECT-VIP
NM1080,SCHIZCONNECT-VIP
CC0717,SCHIZCONNECT-VIP
A00028410,SCHIZCONNECT-VIP
ESOC10106,PRAGUE
A00021081,SCHIZCONNECT-VIP
CC6167,SCHIZCONNECT-VIP
NM2086,SCHIZCONNECT-VIP
NM2085,SCHIZCONNECT-VIP
ESOP00086,PRAGUE
A00027787,SCHIZCONNECT-VIP
CC2881,SCHIZCONNECT-VIP
A00013140,SCHIZCONNECT-VIP
CH1840,SCHIZCONNECT-VIP
NM6285,SCHIZCONNECT-VIP
CH7264b,SCHIZCONNECT-VIP
ps100062,SCHIZCONNECT-VIP
NM4558,SCHIZCONNECT-VIP
A00031186,SCHIZCONNECT-VIP
A00018979,SCHIZCONNECT-VIP
A00019349,SCHIZCONNECT-VIP
NM0909,SCHIZCONNECT-VIP
CC8468,SCHIZCONNECT-VIP
A00016197,SCHIZCONNECT-VIP
CC9744,SCHIZCONNECT-VIP
ESOC10063,PRAGUE
ESOC10065,PRAGUE
ESOC10013,PRAGUE
me110290,SCHIZCONNECT-VIP
CC3421,SCHIZCONNECT-VIP
CC7028,SCHIZCONNECT-VIP
et100244,SCHIZCONNECT-VIP
ESOC10096,PRAGUE
A00018129,SCHIZCONNECT-VIP
A00027410,SCHIZCONNECT-VIP
A00028405,SCHIZCONNECT-VIP
mo120479,SCHIZCONNECT-VIP
jf130314,SCHIZCONNECT-VIP
NM5860,SCHIZCONNECT-VIP
CC8913,SCHIZCONNECT-VIP
ESOC10056,PRAGUE
ESOP00016,PRAGUE
A00009280,SCHIZCONNECT-VIP
ESOP00019,PRAGUE
NM1008,SCHIZCONNECT-VIP
A00037665,SCHIZCONNECT-VIP
A00031478,SCHIZCONNECT-VIP
CH3098,SCHIZCONNECT-VIP
CH8593b,SCHIZCONNECT-VIP
A00023120,SCHIZCONNECT-VIP
CC2038,SCHIZCONNECT-VIP
ac120269,SCHIZCONNECT-VIP
A00022509,SCHIZCONNECT-VIP
CH7272b,SCHIZCONNECT-VIP
ea130289,SCHIZCONNECT-VIP
A00012767,SCHIZCONNECT-VIP
cq100566,SCHIZCONNECT-VIP
NM8365,SCHIZCONNECT-VIP
CC9737,SCHIZCONNECT-VIP
CC2485,SCHIZCONNECT-VIP
mb120254,SCHIZCONNECT-VIP
A00024932,SCHIZCONNECT-VIP
ESOC10071,PRAGUE
NM2103,SCHIZCONNECT-VIP
ESOP00067,PRAGUE
ESOP00003,PRAGUE
A00022653,SCHIZCONNECT-VIP
CC9172,SCHIZCONNECT-VIP
A00037224,SCHIZCONNECT-VIP
ESOP00143,PRAGUE
A00023330,SCHIZCONNECT-VIP
NM2043,SCHIZCONNECT-VIP
sb100410,SCHIZCONNECT-VIP
jg120135,SCHIZCONNECT-VIP
CC4526,SCHIZCONNECT-VIP
A00023366,SCHIZCONNECT-VIP
NM9000,SCHIZCONNECT-VIP
mn100399,SCHIZCONNECT-VIP
ESOC10091,PRAGUE
A00015648,SCHIZCONNECT-VIP
