region,threshold,AUC,p_value,null95
ScCal-SLi_left,32,0.85,0.0,0.6843055555555556
ScCal-SLi_left,37,0.74394283374893,0.0,0.6528750604786183
ScCal-SLi_right,28,0.9220163083765752,0.0,0.8081616011860637
ScCal-SLi_right,32,0.8504050925925924,0.0,0.6891550925925924
ScCal-SLi_right,37,0.7797833935018051,0.0,0.64544270348729
SsP-SPaint_left,28,0.9061527057079317,0.0,0.8022238695329873
SsP-SPaint_left,32,0.8686342592592592,0.0,0.6921875
SsP-SPaint_left,37,0.7991737690275038,0.0,0.6548606200454055
SsP-SPaint_right,28,0.8794662713120829,0.0,0.8122312824314307
SsP-SPaint_right,32,0.8687499999999999,0.0,0.6994820601851851
SsP-SPaint_right,37,0.8116044512263202,0.0,0.6610796829059511
fronto-parietal_medial_face_left,28,0.8858413639733136,0.0,0.7954262416604893
fronto-parietal_medial_face_left,32,0.8382523148148149,0.0,0.688058449074074
fronto-parietal_medial_face_left,37,0.8047564107335591,0.0,0.6520786035952212
fronto-parietal_medial_face_right,28,0.9368421052631579,0.0,0.8153076352853966
fronto-parietal_medial_face_right,32,0.7909722222222223,0.0,0.6948958333333333
fronto-parietal_medial_face_right,37,0.78566377609885,0.0,0.6603688265287134
